Soil_Moisture,Soil_Temp,Soil_pH,Light,Nitrogen,Phosphorus,Potassium,Irrigation_Needed,Fertilizer_Type,Time_to_Irrigation_hr
37.0,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,16.8
24.5,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
52.0,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,105.6
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
43.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,31.2
27.0,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
54.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,115.2
30.0,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
40.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,24.0
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
47.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,40.8
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.0,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,21.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
50.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,96.0
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
51.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
38.5,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,19.2
25.0,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.0,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.5,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
44.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,33.6
27.5,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
55.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,120.0
30.5,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
41.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,26.4
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
48.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,38.4
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.5,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,23.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
51.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,124.8
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
37.0,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,14.4
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
36.5,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,13.2
24.5,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.0,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
43.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,31.2
27.0,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
54.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,115.2
30.0,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
40.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,24.0
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
47.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,40.8
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.0,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,21.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
50.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,96.0
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
37.5,29.2,6.9,870.0,135.0,75.0,180.0,0,Balanced,15.0
24.0,33.2,6.6,700.0,80.0,35.0,120.0,1,Urea (N),0
51.5,26.3,7.0,1210.0,210.0,100.0,310.0,0,Balanced,99.6
22.5,34.8,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
42.5,27.7,6.9,940.0,160.0,80.0,210.0,0,Balanced,30.0
26.5,32.7,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
54.5,25.7,7.1,1320.0,230.0,120.0,360.0,0,Balanced,115.2
30.0,33.1,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
40.5,28.2,6.8,890.0,150.0,90.0,200.0,0,Balanced,24.6
21.0,34.6,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
46.5,26.6,6.9,1020.0,170.0,95.0,240.0,0,Balanced,39.6
26.0,33.4,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
38.5,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,20.4
20.5,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
50.5,27.1,7.0,1160.0,210.0,110.0,320.0,0,Balanced,101.6
28.0,32.6,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
37.0,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,16.8
24.5,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.0,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
43.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,31.2
27.0,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
54.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,115.2
30.0,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
40.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,24.0
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
47.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,40.8
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.0,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,21.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
50.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,96.0
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
38.0,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,19.2
25.0,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.5,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
44.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,33.6
27.5,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
55.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,120.0
30.5,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
41.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,26.4
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
48.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,38.4
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.5,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,23.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
51.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,101.6
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
37.5,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,15.0
24.5,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.0,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
43.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,31.2
27.0,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
54.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,115.2
30.0,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
40.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,24.0
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
47.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,40.8
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.0,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,21.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
50.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,96.0
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
38.0,29.0,6.8,860.0,130.0,70.0,175.0,0,Balanced,19.2
25.0,33.5,6.7,700.0,80.0,35.0,120.0,1,Urea (N),0
53.5,26.0,7.0,1220.0,210.0,100.0,310.0,0,Balanced,110.4
22.0,34.5,6.5,680.0,70.0,30.0,110.0,1,Urea (N),0
44.0,27.5,6.9,940.0,160.0,80.0,210.0,0,Balanced,33.6
27.5,32.5,6.6,960.0,90.0,45.0,145.0,1,Urea (N),0
55.0,25.5,7.1,1320.0,230.0,120.0,360.0,0,Balanced,120.0
30.5,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
41.0,28.0,6.8,890.0,150.0,90.0,200.0,0,Balanced,26.4
21.5,34.5,6.5,670.0,65.0,25.0,115.0,1,Urea (N),0
48.0,26.5,6.9,1020.0,170.0,95.0,240.0,0,Balanced,38.4
26.0,33.5,6.6,730.0,80.0,35.0,130.0,1,Urea (N),0
39.5,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,23.6
20.0,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
51.0,27.0,7.0,1160.0,210.0,110.0,320.0,0,Balanced,101.6
28.0,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
36.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,13.2
23.5,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
52.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
29.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0

